1,23.7,13.0,13.8,11.5,13.5,10.8,7.2,6.5
2,22.4,10.6,11.7,12.7,15.5,13.0,7.3,6.9
3,25.9,11.3,12.6,12.3,13.8,12.1,6.8,5.2
4,21.4,10.8,12.1,13.0,15.6,13.0,7.1,6.9
5,24.6,9.8,13.8,12.8,14.5,12.2,6.9,5.4
6,25.4,8.8,13.4,12.6,14.4,11.9,7.6,5.9
7,22.8,8.9,11.2,13.4,15.8,12.7,7.5,7.7
8,21.1,9.3,11.1,12.2,14.8,13.7,8.7,9.0
9,26.3,10.3,14.2,12.5,13.9,11.0,6.3,5.5
10,17.8,29.0,14.3,9.3,10.4,9.2,5.0,5.0
11,26.7,10.6,15.0,13.5,15.5,11.5,4.7,2.7
12,23.1,9.0,12.4,13.2,14.3,12.6,8.1,7.2
13,24.0,8.4,11.4,13.3,14.8,12.9,8.6,6.5
14,20.9,16.9,14.3,12.7,13.7,11.4,5.6,4.5
15,22.9,10.9,12.5,12.3,14.3,12.7,8.0,6.4
16,25.6,8.2,13.2,14.0,16.0,11.3,6.1,5.6
17,20.3,7.8,12.0,12.9,14.4,14.1,9.8,8.6
18,20.9,21.4,14.3,11.7,11.8,9.9,5.8,4.3
19,26.5,9.2,14.5,15.8,14.7,10.5,5.4,3.6
20,23.3,9.3,11.4,13.2,16.3,12.4,7.7,6.5
21,22.5,20.5,13.8,12.3,12.2,9.5,5.4,3.7
22,24.8,10.1,13.2,12.6,14.7,12.3,7.2,5.3
23,25.3,11.7,16.9,15.1,13.3,9.6,4.7,3.4
24,30.3,11.2,14.5,12.9,12.9,9.2,5.2,3.8
25,23.0,9.9,13.4,13.4,15.6,12.2,6.8,5.9
26,19.7,13.2,11.5,12.3,15.7,13.2,7.6,6.9
27,17.3,6.5,8.2,10.6,15.9,16.5,12.4,12.6
28,24.7,11.7,14.6,12.8,14.1,11.4,6.2,4.6
29,24.2,9.3,11.5,12.4,14.8,12.9,7.6,7.2
30,22.2,8.5,11.4,12.2,15.6,13.9,8.5,7.7
31,24.4,9.9,13.4,12.6,14.9,11.7,6.9,6.2
32,21.0,14.2,13.0,11.9,13.6,13.0,7.3,6.0
33,23.0,7.4,12.6,13.5,14.5,14.2,8.7,6.2
34,23.4,8.7,13.3,12.0,15.2,13.0,7.5,6.9
35,20.9,11.8,11.2,11.3,15.8,12.7,8.0,8.3
36,23.9,9.1,13.8,13.4,14.6,12.3,7.1,5.9
37,22.9,9.7,14.1,12.1,15.0,12.5,6.8,6.9
38,17.1,25.1,11.8,11.3,11.6,10.8,6.9,5.4
39,18.4,22.8,13.4,10.8,12.2,10.6,6.3,5.4
40,22.7,17.3,13.8,12.4,13.3,10.3,5.3,4.9
41,27.9,9.1,14.2,13.7,13.4,10.8,6.1,4.8
42,21.6,10.4,13.6,13.8,15.5,12.0,6.7,6.4
43,21.3,14.2,13.4,13.9,15.1,12.0,5.7,4.3
44,22.7,15.5,13.7,12.4,13.3,11.0,6.5,5.0
45,22.5,10.1,12.5,12.2,15.4,14.1,7.6,5.6
46,24.8,7.9,11.6,14.3,16.3,11.7,6.8,6.7
47,33.0,9.8,12.8,12.7,11.3,9.3,6.1,5.0
48,24.2,8.4,11.5,12.7,14.8,13.5,8.8,6.1
49,21.6,10.3,11.6,12.3,15.6,12.8,7.7,8.1
50,23.5,10.6,11.4,13.7,14.5,11.9,7.6,7.0
51,21.1,13.3,12.8,13.1,15.9,12.3,6.3,5.3
