Table with row headers in column A and column headers in rows 6 through 973. Leading dots indicate subparts.,,,,,,
CBSA Report Chapter 2 Data,,,,,,
,,,,,,
"CBSA
Code",Geographic area,Legal/statistical area description,Population,,"Change, 2000 to 2010",
,,,2010 Census,Census 2000,Number,Percent
30660,"Lincoln, IL",Micropolitan Statistical Area,"30,305","31,183",-878,-2.8
30740,"Lincolnton, NC",Micropolitan Statistical Area,"78,265","63,780","14,485",22.7
30820,"Lock Haven, PA",Micropolitan Statistical Area,"39,238","37,914","1,324",3.5
30900,"Logansport, IN",Micropolitan Statistical Area,"38,966","40,930","-1,964",-4.8
30940,"London, KY",Micropolitan Statistical Area,"58,849","52,715","6,134",11.6
31060,"Los Alamos, NM",Micropolitan Statistical Area,"17,950","18,343",-393,-2.1
31260,"Lufkin, TX",Micropolitan Statistical Area,"86,771","80,130","6,641",8.3
31300,"Lumberton, NC",Micropolitan Statistical Area,"134,168","123,339","10,829",8.8
31380,"Macomb, IL",Micropolitan Statistical Area,"32,612","32,913",-301,-0.9
31500,"Madison, IN",Micropolitan Statistical Area,"32,428","31,705",723,2.3
31580,"Madisonville, KY",Micropolitan Statistical Area,"46,920","46,519",401,0.9
31620,"Magnolia, AR",Micropolitan Statistical Area,"24,552","25,603","-1,051",-4.1
31660,"Malone, NY",Micropolitan Statistical Area,"51,599","51,134",465,0.9
31820,"Manitowoc, WI",Micropolitan Statistical Area,"81,442","82,887","-1,445",-1.7
31920,"Marble Falls, TX",Micropolitan Statistical Area,"42,750","34,147","8,603",25.2
31940,"Marinette, WI-MI",Micropolitan Statistical Area,"65,778","68,710","-2,932",-4.3
31980,"Marion, IN",Micropolitan Statistical Area,"70,061","73,403","-3,342",-4.6
32020,"Marion, OH",Micropolitan Statistical Area,"66,501","66,217",284,0.4
32060,"Marion-Herrin, IL",Micropolitan Statistical Area,"66,357","61,296","5,061",8.3
32100,"Marquette, MI",Micropolitan Statistical Area,"67,077","64,634","2,443",3.8
32140,"Marshall, MN",Micropolitan Statistical Area,"25,857","25,425",432,1.7
32180,"Marshall, MO",Micropolitan Statistical Area,"23,370","23,756",-386,-1.6
32220,"Marshall, TX",Micropolitan Statistical Area,"65,631","62,110","3,521",5.7
32260,"Marshalltown, IA",Micropolitan Statistical Area,"40,648","39,311","1,337",3.4
32270,"Marshfield-Wisconsin Rapids, WI",Micropolitan Statistical Area,"74,749","75,555",-806,-1.1
32280,"Martin, TN",Micropolitan Statistical Area,"35,021","34,895",126,0.4
32300,"Martinsville, VA",Micropolitan Statistical Area,"67,972","73,346","-5,374",-7.3
32340,"Maryville, MO",Micropolitan Statistical Area,"23,370","21,912","1,458",6.7
32380,"Mason City, IA",Micropolitan Statistical Area,"51,749","54,356","-2,607",-4.8
32460,"Mayfield, KY",Micropolitan Statistical Area,"37,121","37,028",93,0.3
32500,"Maysville, KY",Micropolitan Statistical Area,"31,360","30,892",468,1.5
32540,"McAlester, OK",Micropolitan Statistical Area,"45,837","43,953","1,884",4.3
32620,"McComb, MS",Micropolitan Statistical Area,"53,535","52,539",996,1.9
32660,"McMinnville, TN",Micropolitan Statistical Area,"39,839","38,276","1,563",4.1
32700,"McPherson, KS",Micropolitan Statistical Area,"29,180","29,554",-374,-1.3
32740,"Meadville, PA",Micropolitan Statistical Area,"88,765","90,366","-1,601",-1.8
32860,"Menomonie, WI",Micropolitan Statistical Area,"43,857","39,858","3,999",10.0
32940,"Meridian, MS",Micropolitan Statistical Area,"107,449","106,569",880,0.8
32980,"Merrill, WI",Micropolitan Statistical Area,"28,743","29,641",-898,-3.0
33020,"Mexico, MO",Micropolitan Statistical Area,"25,529","25,853",-324,-1.3
33060,"Miami, OK",Micropolitan Statistical Area,"31,848","33,194","-1,346",-4.1
33180,"Middlesborough, KY",Micropolitan Statistical Area,"28,691","30,060","-1,369",-4.6
33220,"Midland, MI",Micropolitan Statistical Area,"83,629","82,874",755,0.9
33300,"Milledgeville, GA",Micropolitan Statistical Area,"55,149","54,776",373,0.7
33380,"Minden, LA",Micropolitan Statistical Area,"41,207","41,831",-624,-1.5
33420,"Mineral Wells, TX",Micropolitan Statistical Area,"28,111","27,026","1,085",4.0
33500,"Minot, ND",Micropolitan Statistical Area,"69,540","67,392","2,148",3.2
33580,"Mitchell, SD",Micropolitan Statistical Area,"22,835","21,880",955,4.4
33620,"Moberly, MO",Micropolitan Statistical Area,"25,414","24,663",751,3.0
33820,"Monroe, WI",Micropolitan Statistical Area,"36,842","33,647","3,195",9.5
33940,"Montrose, CO",Micropolitan Statistical Area,"41,276","33,432","7,844",23.5
33980,"Morehead City, NC",Micropolitan Statistical Area,"66,469","59,383","7,086",11.9
34020,"Morgan City, LA",Micropolitan Statistical Area,"54,650","53,500","1,150",2.1
34140,"Moscow, ID",Micropolitan Statistical Area,"37,244","34,935","2,309",6.6
34180,"Moses Lake, WA",Micropolitan Statistical Area,"89,120","74,698","14,422",19.3
34220,"Moultrie, GA",Micropolitan Statistical Area,"45,498","42,053","3,445",8.2
34260,"Mountain Home, AR",Micropolitan Statistical Area,"41,513","38,386","3,127",8.1
34300,"Mountain Home, ID",Micropolitan Statistical Area,"27,038","29,130","-2,092",-7.2
34340,"Mount Airy, NC",Micropolitan Statistical Area,"73,673","71,219","2,454",3.4
34380,"Mount Pleasant, MI",Micropolitan Statistical Area,"70,311","63,351","6,960",11.0
34420,"Mount Pleasant, TX",Micropolitan Statistical Area,"32,334","28,118","4,216",15.0
34460,"Mount Sterling, KY",Micropolitan Statistical Area,"44,396","40,195","4,201",10.5
34500,"Mount Vernon, IL",Micropolitan Statistical Area,"47,284","48,666","-1,382",-2.8
34540,"Mount Vernon, OH",Micropolitan Statistical Area,"60,921","54,500","6,421",11.8
34660,"Murray, KY",Micropolitan Statistical Area,"37,191","34,177","3,014",8.8
34700,"Muscatine, IA",Micropolitan Statistical Area,"54,132","53,905",227,0.4
34780,"Muskogee, OK",Micropolitan Statistical Area,"70,990","69,451","1,539",2.2
34860,"Nacogdoches, TX",Micropolitan Statistical Area,"64,524","59,203","5,321",9.0
35020,"Natchez, MS-LA",Micropolitan Statistical Area,"53,119","54,587","-1,468",-2.7
35060,"Natchitoches, LA",Micropolitan Statistical Area,"39,566","39,080",486,1.2
35100,"New Bern, NC",Micropolitan Statistical Area,"126,802","114,751","12,051",10.5
35140,"Newberry, SC",Micropolitan Statistical Area,"37,508","36,108","1,400",3.9
35220,"New Castle, IN",Micropolitan Statistical Area,"49,462","48,508",954,2.0
35260,"New Castle, PA",Micropolitan Statistical Area,"91,108","94,643","-3,535",-3.7
35340,"New Iberia, LA",Micropolitan Statistical Area,"73,240","73,266",-26,0.0
35420,"New Philadelphia-Dover, OH",Micropolitan Statistical Area,"92,582","90,914","1,668",1.8
35460,"Newport, TN",Micropolitan Statistical Area,"35,662","33,565","2,097",6.2
35500,"Newton, IA",Micropolitan Statistical Area,"36,842","37,213",-371,-1.0
35580,"New Ulm, MN",Micropolitan Statistical Area,"25,893","26,911","-1,018",-3.8
35700,"Nogales, AZ",Micropolitan Statistical Area,"47,420","38,381","9,039",23.6
35740,"Norfolk, NE",Micropolitan Statistical Area,"48,271","49,538","-1,267",-2.6
35820,"North Platte, NE",Micropolitan Statistical Area,"37,590","35,939","1,651",4.6
35860,"North Vernon, IN",Micropolitan Statistical Area,"28,525","27,554",971,3.5
35900,"North Wilkesboro, NC",Micropolitan Statistical Area,"69,340","65,632","3,708",5.6
35940,"Norwalk, OH",Micropolitan Statistical Area,"59,626","59,487",139,0.2
36020,"Oak Harbor, WA",Micropolitan Statistical Area,"78,506","71,558","6,948",9.7
36060,"Oak Hill, WV",Micropolitan Statistical Area,"46,039","47,579","-1,540",-3.2
36180,"Ocean Pines, MD",Micropolitan Statistical Area,"51,454","46,543","4,911",10.6
36300,"Ogdensburg-Massena, NY",Micropolitan Statistical Area,"111,944","111,931",13,0.0
36340,"Oil City, PA",Micropolitan Statistical Area,"54,984","57,565","-2,581",-4.5
36380,"Okeechobee, FL",Micropolitan Statistical Area,"39,996","35,910","4,086",11.4
36460,"Olean, NY",Micropolitan Statistical Area,"80,317","83,955","-3,638",-4.3
36580,"Oneonta, NY",Micropolitan Statistical Area,"62,259","61,676",583,0.9
36620,"Ontario, OR-ID",Micropolitan Statistical Area,"53,936","52,193","1,743",3.3
36660,"Opelousas-Eunice, LA",Micropolitan Statistical Area,"83,384","87,700","-4,316",-4.9
36700,"Orangeburg, SC",Micropolitan Statistical Area,"92,501","91,582",919,1.0
36820,"Oskaloosa, IA",Micropolitan Statistical Area,"22,381","22,335",46,0.2
36860,"Ottawa-Streator, IL",Micropolitan Statistical Area,"154,908","153,098","1,810",1.2
36900,"Ottumwa, IA",Micropolitan Statistical Area,"35,625","36,051",-426,-1.2
36940,"Owatonna, MN",Micropolitan Statistical Area,"36,576","33,680","2,896",8.6
37020,"Owosso, MI",Micropolitan Statistical Area,"70,648","71,687","-1,039",-1.4
37060,"Oxford, MS",Micropolitan Statistical Area,"47,351","38,744","8,607",22.2
37140,"Paducah, KY-IL",Micropolitan Statistical Area,"98,762","98,765",-3,0.0
37220,"Pahrump, NV",Micropolitan Statistical Area,"43,946","32,485","11,461",35.3
37260,"Palatka, FL",Micropolitan Statistical Area,"74,364","70,423","3,941",5.6
37300,"Palestine, TX",Micropolitan Statistical Area,"58,458","55,109","3,349",6.1
37420,"Pampa, TX",Micropolitan Statistical Area,"23,464","23,631",-167,-0.7
37500,"Paragould, AR",Micropolitan Statistical Area,"42,090","37,331","4,759",12.7
37540,"Paris, TN",Micropolitan Statistical Area,"32,330","31,115","1,215",3.9
37580,"Paris, TX",Micropolitan Statistical Area,"49,793","48,499","1,294",2.7
37660,"Parsons, KS",Micropolitan Statistical Area,"21,607","22,835","-1,228",-5.4
37740,"Payson, AZ",Micropolitan Statistical Area,"53,597","51,335","2,262",4.4
37780,"Pecos, TX",Micropolitan Statistical Area,"13,783","13,137",646,4.9
37800,"Pella, IA",Micropolitan Statistical Area,"33,309","32,052","1,257",3.9
37820,"Pendleton-Hermiston, OR",Micropolitan Statistical Area,"87,062","81,543","5,519",6.8
37940,"Peru, IN",Micropolitan Statistical Area,"36,903","36,082",821,2.3
38020,"Phoenix Lake-Cedar Ridge, CA",Micropolitan Statistical Area,"55,365","54,501",864,1.6
38100,"Picayune, MS",Micropolitan Statistical Area,"55,834","48,621","7,213",14.8
38180,"Pierre, SD",Micropolitan Statistical Area,"19,988","19,253",735,3.8
38200,"Pierre Part, LA",Micropolitan Statistical Area,"23,421","23,388",33,0.1
38260,"Pittsburg, KS",Micropolitan Statistical Area,"39,134","38,242",892,2.3
38380,"Plainview, TX",Micropolitan Statistical Area,"36,273","36,602",-329,-0.9
38420,"Platteville, WI",Micropolitan Statistical Area,"51,208","49,597","1,611",3.2
38460,"Plattsburgh, NY",Micropolitan Statistical Area,"82,128","79,894","2,234",2.8
38500,"Plymouth, IN",Micropolitan Statistical Area,"47,051","45,128","1,923",4.3
38580,"Point Pleasant, WV-OH",Micropolitan Statistical Area,"58,258","57,026","1,232",2.2
38620,"Ponca City, OK",Micropolitan Statistical Area,"46,562","48,080","-1,518",-3.2
38700,"Pontiac, IL",Micropolitan Statistical Area,"38,950","39,678",-728,-1.8
38740,"Poplar Bluff, MO",Micropolitan Statistical Area,"42,794","40,867","1,927",4.7
38780,"Portales, NM",Micropolitan Statistical Area,"19,846","18,018","1,828",10.1
38820,"Port Angeles, WA",Micropolitan Statistical Area,"71,404","64,525","6,879",10.7
39020,"Portsmouth, OH",Micropolitan Statistical Area,"79,499","79,195",304,0.4
39060,"Pottsville, PA",Micropolitan Statistical Area,"148,289","150,336","-2,047",-1.4
39220,"Price, UT",Micropolitan Statistical Area,"21,403","20,422",981,4.8
39260,"Prineville, OR",Micropolitan Statistical Area,"20,978","19,182","1,796",9.4
39420,"Pullman, WA",Micropolitan Statistical Area,"44,776","40,740","4,036",9.9
39500,"Quincy, IL-MO",Micropolitan Statistical Area,"77,314","78,771","-1,457",-1.8
39700,"Raymondville, TX",Micropolitan Statistical Area,"22,134","20,082","2,052",10.2
39780,"Red Bluff, CA",Micropolitan Statistical Area,"63,463","56,039","7,424",13.2
39860,"Red Wing, MN",Micropolitan Statistical Area,"46,183","44,127","2,056",4.7
39940,"Rexburg, ID",Micropolitan Statistical Area,"50,778","39,286","11,492",29.3
39980,"Richmond, IN",Micropolitan Statistical Area,"68,917","71,097","-2,180",-3.1
40080,"Richmond-Berea, KY",Micropolitan Statistical Area,"99,972","87,454","12,518",14.3
40100,"Rio Grande City-Roma, TX",Micropolitan Statistical Area,"60,968","53,597","7,371",13.8
40180,"Riverton, WY",Micropolitan Statistical Area,"40,123","35,804","4,319",12.1
40260,"Roanoke Rapids, NC",Micropolitan Statistical Area,"76,790","79,456","-2,666",-3.4
40300,"Rochelle, IL",Micropolitan Statistical Area,"53,497","51,032","2,465",4.8
40460,"Rockingham, NC",Micropolitan Statistical Area,"46,639","46,564",75,0.2
40500,"Rockland, ME",Micropolitan Statistical Area,"39,736","39,618",118,0.3
40540,"Rock Springs, WY",Micropolitan Statistical Area,"43,806","37,613","6,193",16.5
40620,"Rolla, MO",Micropolitan Statistical Area,"45,156","39,825","5,331",13.4
40700,"Roseburg, OR",Micropolitan Statistical Area,"107,667","100,399","7,268",7.2
40740,"Roswell, NM",Micropolitan Statistical Area,"65,645","61,382","4,263",6.9
40760,"Ruidoso, NM",Micropolitan Statistical Area,"20,497","19,411","1,086",5.6
40780,"Russellville, AR",Micropolitan Statistical Area,"83,939","75,608","8,331",11.0
40820,"Ruston, LA",Micropolitan Statistical Area,"63,009","57,906","5,103",8.8
40860,"Rutland, VT",Micropolitan Statistical Area,"61,642","63,400","-1,758",-2.8
40940,"Safford, AZ",Micropolitan Statistical Area,"45,657","42,036","3,621",8.6
41220,"St. Marys, GA",Micropolitan Statistical Area,"50,513","43,664","6,849",15.7
41260,"St. Marys, PA",Micropolitan Statistical Area,"31,946","35,112","-3,166",-9.0
41460,"Salina, KS",Micropolitan Statistical Area,"61,697","59,760","1,937",3.2
41580,"Salisbury, NC",Micropolitan Statistical Area,"138,428","130,340","8,088",6.2
41820,"Sanford, NC",Micropolitan Statistical Area,"57,866","49,040","8,826",18.0
42300,"Sault Ste. Marie, MI",Micropolitan Statistical Area,"38,520","38,543",-23,-0.1
42380,"Sayre, PA",Micropolitan Statistical Area,"62,622","62,761",-139,-0.2
42420,"Scottsbluff, NE",Micropolitan Statistical Area,"37,660","37,770",-110,-0.3
42460,"Scottsboro, AL",Micropolitan Statistical Area,"53,227","53,926",-699,-1.3
42500,"Scottsburg, IN",Micropolitan Statistical Area,"24,181","22,960","1,221",5.3
42580,"Seaford, DE",Micropolitan Statistical Area,"197,145","156,638","40,507",25.9
42620,"Searcy, AR",Micropolitan Statistical Area,"77,076","67,165","9,911",14.8
42700,"Sebring, FL",Micropolitan Statistical Area,"98,786","87,366","11,420",13.1
42740,"Sedalia, MO",Micropolitan Statistical Area,"42,201","39,403","2,798",7.1
42780,"Selinsgrove, PA",Micropolitan Statistical Area,"39,702","37,546","2,156",5.7
42820,"Selma, AL",Micropolitan Statistical Area,"43,820","46,365","-2,545",-5.5
42860,"Seneca, SC",Micropolitan Statistical Area,"74,273","66,215","8,058",12.2
42900,"Seneca Falls, NY",Micropolitan Statistical Area,"35,251","33,342","1,909",5.7
42940,"Sevierville, TN",Micropolitan Statistical Area,"89,889","71,170","18,719",26.3
42980,"Seymour, IN",Micropolitan Statistical Area,"42,376","41,335","1,041",2.5
43060,"Shawnee, OK",Micropolitan Statistical Area,"69,442","65,521","3,921",6.0
43140,"Shelby, NC",Micropolitan Statistical Area,"98,078","96,287","1,791",1.9
43180,"Shelbyville, TN",Micropolitan Statistical Area,"45,058","37,586","7,472",19.9
43220,"Shelton, WA",Micropolitan Statistical Area,"60,699","49,405","11,294",22.9
43260,"Sheridan, WY",Micropolitan Statistical Area,"29,116","26,560","2,556",9.6
43320,"Show Low, AZ",Micropolitan Statistical Area,"107,449","97,470","9,979",10.2
43380,"Sidney, OH",Micropolitan Statistical Area,"49,423","47,910","1,513",3.2
43420,"Sierra Vista-Douglas, AZ",Micropolitan Statistical Area,"131,346","117,755","13,591",11.5
43460,"Sikeston, MO",Micropolitan Statistical Area,"39,191","40,422","-1,231",-3.0
43500,"Silver City, NM",Micropolitan Statistical Area,"29,514","31,002","-1,488",-4.8
43540,"Silverthorne, CO",Micropolitan Statistical Area,"27,994","23,548","4,446",18.9
43660,"Snyder, TX",Micropolitan Statistical Area,"16,921","16,361",560,3.4
43700,"Somerset, KY",Micropolitan Statistical Area,"63,063","56,217","6,846",12.2
43740,"Somerset, PA",Micropolitan Statistical Area,"77,742","80,023","-2,281",-2.9
43860,"Southern Pines-Pinehurst, NC",Micropolitan Statistical Area,"88,247","74,769","13,478",18.0
43940,"Spearfish, SD",Micropolitan Statistical Area,"24,097","21,802","2,295",10.5
43980,"Spencer, IA",Micropolitan Statistical Area,"16,667","17,372",-705,-4.1
44020,"Spirit Lake, IA",Micropolitan Statistical Area,"16,667","16,424",243,1.5
44260,"Starkville, MS",Micropolitan Statistical Area,"47,671","42,902","4,769",11.1
44340,"Statesboro, GA",Micropolitan Statistical Area,"70,217","55,983","14,234",25.4
44380,"Statesville-Mooresville, NC",Micropolitan Statistical Area,"159,437","122,660","36,777",30.0
44420,"Staunton-Waynesboro, VA",Micropolitan Statistical Area,"118,502","108,988","9,514",8.7
44500,"Stephenville, TX",Micropolitan Statistical Area,"37,890","33,001","4,889",14.8
44540,"Sterling, CO",Micropolitan Statistical Area,"22,709","20,504","2,205",10.8
44580,"Sterling, IL",Micropolitan Statistical Area,"58,498","60,653","-2,155",-3.6
44620,"Stevens Point, WI",Micropolitan Statistical Area,"70,019","67,182","2,837",4.2
44660,"Stillwater, OK",Micropolitan Statistical Area,"77,350","68,190","9,160",13.4
44740,"Storm Lake, IA",Micropolitan Statistical Area,"20,260","20,411",-151,-0.7
44780,"Sturgis, MI",Micropolitan Statistical Area,"61,295","62,422","-1,127",-1.8
44860,"Sulphur Springs, TX",Micropolitan Statistical Area,"35,161","31,960","3,201",10.0
44900,"Summerville, GA",Micropolitan Statistical Area,"26,015","25,470",545,2.1
44980,"Sunbury, PA",Micropolitan Statistical Area,"94,528","94,556",-28,0.0
45000,"Susanville, CA",Micropolitan Statistical Area,"34,895","33,828","1,067",3.2
45020,"Sweetwater, TX",Micropolitan Statistical Area,"15,216","15,802",-586,-3.7
45140,"Tahlequah, OK",Micropolitan Statistical Area,"46,987","42,521","4,466",10.5
45180,"Talladega-Sylacauga, AL",Micropolitan Statistical Area,"82,291","80,321","1,970",2.5
45260,"Tallulah, LA",Micropolitan Statistical Area,"12,093","13,728","-1,635",-11.9
45340,"Taos, NM",Micropolitan Statistical Area,"32,937","29,979","2,958",9.9
45380,"Taylorville, IL",Micropolitan Statistical Area,"34,800","35,372",-572,-1.6
45520,"The Dalles, OR",Micropolitan Statistical Area,"25,213","23,791","1,422",6.0
45540,"The Villages, FL",Micropolitan Statistical Area,"93,420","53,345","40,075",75.1
45580,"Thomaston, GA",Micropolitan Statistical Area,"27,153","27,597",-444,-1.6
45620,"Thomasville, GA",Micropolitan Statistical Area,"44,720","42,737","1,983",4.6
45640,"Thomasville-Lexington, NC",Micropolitan Statistical Area,"162,878","147,246","15,632",10.6
45660,"Tiffin, OH",Micropolitan Statistical Area,"56,745","58,683","-1,938",-3.3
45700,"Tifton, GA",Micropolitan Statistical Area,"40,118","38,407","1,711",4.5
45740,"Toccoa, GA",Micropolitan Statistical Area,"26,175","25,435",740,2.9
45860,"Torrington, CT",Micropolitan Statistical Area,"189,927","182,193","7,734",4.2
45900,"Traverse City, MI",Micropolitan Statistical Area,"143,372","131,342","12,030",9.2
45980,"Troy, AL",Micropolitan Statistical Area,"32,899","29,605","3,294",11.1
46020,"Truckee-Grass Valley, CA",Micropolitan Statistical Area,"98,764","92,033","6,731",7.3
46100,"Tullahoma, TN",Micropolitan Statistical Area,"100,210","93,024","7,186",7.7
46180,"Tupelo, MS",Micropolitan Statistical Area,"136,268","125,251","11,017",8.8
46260,"Tuskegee, AL",Micropolitan Statistical Area,"21,452","24,105","-2,653",-11.0
46300,"Twin Falls, ID",Micropolitan Statistical Area,"99,604","82,626","16,978",20.5
46380,"Ukiah, CA",Micropolitan Statistical Area,"87,841","86,265","1,576",1.8
46420,"Union, SC",Micropolitan Statistical Area,"28,961","29,881",-920,-3.1
46460,"Union City, TN-KY",Micropolitan Statistical Area,"38,620","40,202","-1,582",-3.9
46500,"Urbana, OH",Micropolitan Statistical Area,"40,097","38,890","1,207",3.1
46620,"Uvalde, TX",Micropolitan Statistical Area,"26,405","25,926",479,1.8
46740,"Valley, AL",Micropolitan Statistical Area,"34,215","36,583","-2,368",-6.5
46780,"Van Wert, OH",Micropolitan Statistical Area,"28,744","29,659",-915,-3.1
46820,"Vermillion, SD",Micropolitan Statistical Area,"13,864","13,537",327,2.4
46860,"Vernal, UT",Micropolitan Statistical Area,"32,588","25,224","7,364",29.2
46900,"Vernon, TX",Micropolitan Statistical Area,"13,535","14,676","-1,141",-7.8
46980,"Vicksburg, MS",Micropolitan Statistical Area,"48,773","49,644",-871,-1.8
47080,"Vidalia, GA",Micropolitan Statistical Area,"36,346","34,337","2,009",5.9
47180,"Vincennes, IN",Micropolitan Statistical Area,"38,440","39,256",-816,-2.1
47340,"Wabash, IN",Micropolitan Statistical Area,"32,888","34,960","-2,072",-5.9
47420,"Wahpeton, ND-MN",Micropolitan Statistical Area,"22,897","25,136","-2,239",-8.9
47460,"Walla Walla, WA",Micropolitan Statistical Area,"58,781","55,180","3,601",6.5
47500,"Walterboro, SC",Micropolitan Statistical Area,"38,892","38,264",628,1.6
47540,"Wapakoneta, OH",Micropolitan Statistical Area,"45,949","46,611",-662,-1.4
47620,"Warren, PA",Micropolitan Statistical Area,"41,815","43,863","-2,048",-4.7
47660,"Warrensburg, MO",Micropolitan Statistical Area,"52,595","48,258","4,337",9.0
47700,"Warsaw, IN",Micropolitan Statistical Area,"77,358","74,057","3,301",4.5
47780,"Washington, IN",Micropolitan Statistical Area,"31,648","29,820","1,828",6.1
47820,"Washington, NC",Micropolitan Statistical Area,"47,759","44,958","2,801",6.2
47920,"Washington Court House, OH",Micropolitan Statistical Area,"29,030","28,433",597,2.1
47980,"Watertown, SD",Micropolitan Statistical Area,"33,130","31,437","1,693",5.4
48020,"Watertown-Fort Atkinson, WI",Micropolitan Statistical Area,"83,686","74,021","9,665",13.1
48060,"Watertown-Fort Drum, NY",Micropolitan Statistical Area,"116,229","111,738","4,491",4.0
48100,"Wauchula, FL",Micropolitan Statistical Area,"27,731","26,938",793,2.9
48180,"Waycross, GA",Micropolitan Statistical Area,"55,070","51,119","3,951",7.7
48220,"Weatherford, OK",Micropolitan Statistical Area,"27,469","26,142","1,327",5.1
48460,"West Plains, MO",Micropolitan Statistical Area,"40,400","37,238","3,162",8.5
48500,"West Point, MS",Micropolitan Statistical Area,"20,634","21,979","-1,345",-6.1
48580,"Whitewater, WI",Micropolitan Statistical Area,"102,228","93,759","8,469",9.0
48740,"Willimantic, CT",Micropolitan Statistical Area,"118,428","109,091","9,337",8.6
48780,"Williston, ND",Micropolitan Statistical Area,"22,398","19,761","2,637",13.3
48820,"Willmar, MN",Micropolitan Statistical Area,"42,239","41,203","1,036",2.5
48940,"Wilmington, OH",Micropolitan Statistical Area,"42,040","40,543","1,497",3.7
48980,"Wilson, NC",Micropolitan Statistical Area,"81,234","73,814","7,420",10.1
49060,"Winfield, KS",Micropolitan Statistical Area,"36,311","36,291",20,0.1
49100,"Winona, MN",Micropolitan Statistical Area,"51,461","49,985","1,476",3.0
49260,"Woodward, OK",Micropolitan Statistical Area,"20,081","18,486","1,595",8.6
49300,"Wooster, OH",Micropolitan Statistical Area,"114,520","111,564","2,956",2.6
49380,"Worthington, MN",Micropolitan Statistical Area,"21,378","20,832",546,2.6
49460,"Yankton, SD",Micropolitan Statistical Area,"22,438","21,652",786,3.6
49540,"Yazoo City, MS",Micropolitan Statistical Area,"28,065","28,149",-84,-0.3
49780,"Zanesville, OH",Micropolitan Statistical Area,"86,074","84,585","1,489",1.8
,...Outside core based statistical area,,"19,484,223","19,131,679","352,544",1.8
,,,,,,
,Puerto Rico,,"3,725,789","3,808,610","-82,821",-2.2
,…Inside core based statistical area,,"3,698,513","3,780,126","-81,613",-2.2
,…...In metropolitan statistical area,,"3,534,375","3,617,954","-83,579",-2.3
10380,"Aguadilla-Isabela-San Sebastián, PR",Metropolitan Statistical Area,"306,292","312,602","-6,310",-2.0
21940,"Fajardo, PR",Metropolitan Statistical Area,"70,692","78,533","-7,841",-10.0
25020,"Guayama, PR",Metropolitan Statistical Area,"84,214","83,570",644,0.8
32420,"Mayagüez, PR",Metropolitan Statistical Area,"106,330","115,048","-8,718",-7.6
38660,"Ponce, PR",Metropolitan Statistical Area,"243,147","264,919","-21,772",-8.2
41900,"San Germán-Cabo Rojo, PR",Metropolitan Statistical Area,"137,462","136,212","1,250",0.9
41980,"San Juan-Caguas-Guaynabo, PR",Metropolitan Statistical Area,"2,478,905","2,509,007","-30,102",-1.2
49500,"Yauco, PR",Metropolitan Statistical Area,"107,333","118,063","-10,730",-9.1
,,,,,,
,…...In micropolitan statistical area,,"164,138","162,172","1,966",1.2
10260,"Adjuntas, PR",Micropolitan Statistical Area,"19,483","19,143",340,1.8
17620,"Coamo, PR",Micropolitan Statistical Area,"71,590","68,710","2,880",4.2
27580,"Jayuya, PR",Micropolitan Statistical Area,"16,642","17,318",-676,-3.9
42180,"Santa Isabel, PR",Micropolitan Statistical Area,"23,274","21,665","1,609",7.4
46580,"Utuado, PR",Micropolitan Statistical Area,"33,149","35,336","-2,187",-6.2
,...Outside core based statistical area,,"27,276","28,484","-1,208",-4.2
,,,,,,
Note: Core based statistical areas (metropolitan and micropolitan statistical areas) defined,,,,,,
"by the Office of Management and Budget as of December 2009. Broomfield County, CO, was formed from parts of Adams, Boulder, Jefferson, ",,,,,,
"and Weld Counties, CO, on November 15, 2001, and was coextensive with Broomfield city. For purposes of presenting data for metropolitan",,,,,,
"and micropolitan statistical areas, Broomfield is treated as if it were a county at the time of Census 2000.",,,,,,
,,,,,,
"Source: U.S. Census Bureau, 2010 Census and Census 2000.",,,,,,
,,,,,,
"Internet Release Date: September, 2012.",,,,,,
,,,,,,
,,,,,,
