Table with row headers in column A and column headers in rows 6 through 973. Leading dots indicate subparts.,,,,,,
CBSA Report Chapter 2 Data,,,,,,
,,,,,,
"CBSA
Code",Geographic area,Legal/statistical area description,Population,,"Change, 2000 to 2010",
,,,2010 Census,Census 2000,Number,Percent
22620,"Forrest City, AR",Micropolitan Statistical Area,"28,258","29,329","-1,071",-3.7
22700,"Fort Dodge, IA",Micropolitan Statistical Area,"38,013","40,235","-2,222",-5.5
22780,"Fort Leonard Wood, MO",Micropolitan Statistical Area,"52,274","41,165","11,109",27.0
22800,"Fort Madison-Keokuk, IA-MO",Micropolitan Statistical Area,"43,001","45,468","-2,467",-5.4
22820,"Fort Morgan, CO",Micropolitan Statistical Area,"28,159","27,171",988,3.6
22840,"Fort Payne, AL",Micropolitan Statistical Area,"71,109","64,452","6,657",10.3
22860,"Fort Polk South, LA",Micropolitan Statistical Area,"52,334","52,531",-197,-0.4
22980,"Fort Valley, GA",Micropolitan Statistical Area,"27,695","23,668","4,027",17.0
23140,"Frankfort, IN",Micropolitan Statistical Area,"33,224","33,866",-642,-1.9
23180,"Frankfort, KY",Micropolitan Statistical Area,"70,706","66,798","3,908",5.9
23240,"Fredericksburg, TX",Micropolitan Statistical Area,"24,837","20,814","4,023",19.3
23300,"Freeport, IL",Micropolitan Statistical Area,"47,711","48,979","-1,268",-2.6
23340,"Fremont, NE",Micropolitan Statistical Area,"36,691","36,160",531,1.5
23380,"Fremont, OH",Micropolitan Statistical Area,"60,944","61,792",-848,-1.4
23500,"Gaffney, SC",Micropolitan Statistical Area,"55,342","52,537","2,805",5.3
23620,"Gainesville, TX",Micropolitan Statistical Area,"38,437","36,363","2,074",5.7
23660,"Galesburg, IL",Micropolitan Statistical Area,"70,626","74,571","-3,945",-5.3
23700,"Gallup, NM",Micropolitan Statistical Area,"71,492","74,798","-3,306",-4.4
23780,"Garden City, KS",Micropolitan Statistical Area,"36,776","40,523","-3,747",-9.2
23820,"Gardnerville Ranchos, NV",Micropolitan Statistical Area,"46,997","41,259","5,738",13.9
23860,"Georgetown, SC",Micropolitan Statistical Area,"60,158","55,797","4,361",7.8
23900,"Gettysburg, PA",Micropolitan Statistical Area,"101,407","91,292","10,115",11.1
23940,"Gillette, WY",Micropolitan Statistical Area,"46,133","33,698","12,435",36.9
23980,"Glasgow, KY",Micropolitan Statistical Area,"52,272","48,070","4,202",8.7
24100,"Gloversville, NY",Micropolitan Statistical Area,"55,531","55,073",458,0.8
24180,"Granbury, TX",Micropolitan Statistical Area,"59,672","47,909","11,763",24.6
24260,"Grand Island, NE",Micropolitan Statistical Area,"72,726","68,305","4,421",6.5
24380,"Grants, NM",Micropolitan Statistical Area,"27,213","25,595","1,618",6.3
24420,"Grants Pass, OR",Micropolitan Statistical Area,"82,713","75,726","6,987",9.2
24460,"Great Bend, KS",Micropolitan Statistical Area,"27,674","28,205",-531,-1.9
24620,"Greeneville, TN",Micropolitan Statistical Area,"68,831","62,909","5,922",9.4
24700,"Greensburg, IN",Micropolitan Statistical Area,"25,740","24,555","1,185",4.8
24740,"Greenville, MS",Micropolitan Statistical Area,"51,137","62,977","-11,840",-18.8
24820,"Greenville, OH",Micropolitan Statistical Area,"52,959","53,309",-350,-0.7
24900,"Greenwood, MS",Micropolitan Statistical Area,"42,914","48,716","-5,802",-11.9
24940,"Greenwood, SC",Micropolitan Statistical Area,"69,661","66,271","3,390",5.1
24980,"Grenada, MS",Micropolitan Statistical Area,"21,906","23,263","-1,357",-5.8
25100,"Guymon, OK",Micropolitan Statistical Area,"20,640","20,107",533,2.7
25220,"Hammond, LA",Micropolitan Statistical Area,"121,097","100,588","20,509",20.4
25300,"Hannibal, MO",Micropolitan Statistical Area,"38,948","37,915","1,033",2.7
