Table with row headers in column A and column headers in rows 4 through 974. Leading dots indicate subparts.,,,,,,,,,,
CBSA Report Chapter 3 Data,,,,,,,,,,
,,,,,,,,,,
"CBSA
Code",Geographic area,Legal/statistical area description,Population,,"Land area in
square miles, 2010",Population density1,,,,
,,,,,,Overall,,Population weighted,,
,,,2000,2010,,2000,2010,2000,2010,"Change, 2000 to 2010"
45740,"Toccoa, GA",Micropolitan Statistical Area,"25,435","26,175",179.1,142.0,146.1,252.3,242.5,-9.8
45860,"Torrington, CT",Micropolitan Statistical Area,"182,193","189,927",920.6,197.9,206.3,862.9,875.2,12.3
45900,"Traverse City, MI",Micropolitan Statistical Area,"131,342","143,372","1,691.1",77.7,84.8,354.7,377.0,22.3
45980,"Troy, AL",Micropolitan Statistical Area,"29,605","32,899",672.1,44.0,48.9,119.5,161.1,41.6
46020,"Truckee-Grass Valley, CA",Micropolitan Statistical Area,"92,033","98,764",957.8,96.1,103.1,496.8,522.1,25.3
46100,"Tullahoma, TN",Micropolitan Statistical Area,"93,024","100,210","1,112.7",83.6,90.1,292.6,318.5,25.8
46180,"Tupelo, MS",Micropolitan Statistical Area,"125,251","136,268","1,480.4",84.6,92.0,391.2,377.3,-13.9
46260,"Tuskegee, AL",Micropolitan Statistical Area,"24,105","21,452",608.9,39.6,35.2,511.3,403.2,-108.1
46300,"Twin Falls, ID",Micropolitan Statistical Area,"82,626","99,604","2,518.4",32.8,39.6,"1,039.9","1,168.0",128.1
46380,"Ukiah, CA",Micropolitan Statistical Area,"86,265","87,841","3,506.3",24.6,25.1,800.0,840.4,40.4
46420,"Union, SC",Micropolitan Statistical Area,"29,881","28,961",514.2,58.1,56.3,373.9,341.2,-32.7
46460,"Union City, TN-KY",Micropolitan Statistical Area,"40,202","38,620",750.2,53.6,51.5,174.4,183.0,8.6
46500,"Urbana, OH",Micropolitan Statistical Area,"38,890","40,097",428.7,90.7,93.5,370.6,364.9,-5.7
46620,"Uvalde, TX",Micropolitan Statistical Area,"25,926","26,405","1,551.9",16.7,17.0,961.3,907.0,-54.3
46740,"Valley, AL",Micropolitan Statistical Area,"36,583","34,215",596.5,61.3,57.4,408.3,351.2,-57.1
46780,"Van Wert, OH",Micropolitan Statistical Area,"29,659","28,744",409.2,72.5,70.3,566.9,543.9,-23.0
46820,"Vermillion, SD",Micropolitan Statistical Area,"13,537","13,864",412.2,32.8,33.6,"2,228.2","2,028.1",-200.2
46860,"Vernal, UT",Micropolitan Statistical Area,"25,224","32,588","4,479.7",5.6,7.3,236.2,250.5,14.3
46900,"Vernon, TX",Micropolitan Statistical Area,"14,676","13,535",970.8,15.1,13.9,337.1,340.7,3.7
46980,"Vicksburg, MS",Micropolitan Statistical Area,"49,644","48,773",588.5,84.4,82.9,775.5,603.5,-172.0
47080,"Vidalia, GA",Micropolitan Statistical Area,"34,337","36,346",603.5,56.9,60.2,146.3,151.7,5.3
47180,"Vincennes, IN",Micropolitan Statistical Area,"39,256","38,440",516.0,76.1,74.5,"1,465.0","1,421.3",-43.8
47340,"Wabash, IN",Micropolitan Statistical Area,"34,960","32,888",412.4,84.8,79.7,851.9,791.9,-60.0
47420,"Wahpeton, ND-MN",Micropolitan Statistical Area,"25,136","22,897","2,186.7",11.5,10.5,545.4,472.8,-72.7
47460,"Walla Walla, WA",Micropolitan Statistical Area,"55,180","58,781","1,270.1",43.4,46.3,"2,305.5","2,337.2",31.7
47500,"Walterboro, SC",Micropolitan Statistical Area,"38,264","38,892","1,056.5",36.2,36.8,205.3,203.7,-1.6
47540,"Wapakoneta, OH",Micropolitan Statistical Area,"46,611","45,949",401.4,116.1,114.5,608.3,616.0,7.7
47620,"Warren, PA",Micropolitan Statistical Area,"43,863","41,815",884.1,49.6,47.3,928.5,828.2,-100.3
47660,"Warrensburg, MO",Micropolitan Statistical Area,"48,258","52,595",829.3,58.2,63.4,605.8,630.5,24.7
47700,"Warsaw, IN",Micropolitan Statistical Area,"74,057","77,358",531.4,139.4,145.6,498.5,534.0,35.5
47780,"Washington, IN",Micropolitan Statistical Area,"29,820","31,648",429.5,69.4,73.7,767.4,744.6,-22.8
47820,"Washington, NC",Micropolitan Statistical Area,"44,958","47,759",827.2,54.4,57.7,310.3,299.9,-10.4
47920,"Washington Court House, OH",Micropolitan Statistical Area,"28,433","29,030",406.4,70.0,71.4,264.0,286.5,22.5
47980,"Watertown, SD",Micropolitan Statistical Area,"31,437","33,130","1,195.7",26.3,27.7,"1,109.5","1,101.3",-8.2
48020,"Watertown-Fort Atkinson, WI",Micropolitan Statistical Area,"74,021","83,686",556.5,133.0,150.4,740.2,779.7,39.5
48060,"Watertown-Fort Drum, NY",Micropolitan Statistical Area,"111,738","116,229","1,268.6",88.1,91.6,992.9,993.6,0.7
48100,"Wauchula, FL",Micropolitan Statistical Area,"26,938","27,731",637.8,42.2,43.5,80.7,81.3,0.6
48180,"Waycross, GA",Micropolitan Statistical Area,"51,119","55,070","1,209.0",42.3,45.6,464.2,394.6,-69.7
48220,"Weatherford, OK",Micropolitan Statistical Area,"26,142","27,469",988.8,26.4,27.8,64.5,70.2,5.6
48460,"West Plains, MO",Micropolitan Statistical Area,"37,238","40,400",927.2,40.2,43.6,207.3,226.2,18.9
48500,"West Point, MS",Micropolitan Statistical Area,"21,979","20,634",410.1,53.6,50.3,710.4,667.3,-43.1
48580,"Whitewater, WI",Micropolitan Statistical Area,"93,759","102,228",555.1,168.9,184.2,651.5,645.9,-5.6
48740,"Willimantic, CT",Micropolitan Statistical Area,"109,091","118,428",512.9,212.7,230.9,965.9,"1,068.8",102.9
48780,"Williston, ND",Micropolitan Statistical Area,"19,761","22,398","2,077.4",9.5,10.8,"1,074.4","1,088.9",14.5
48820,"Willmar, MN",Micropolitan Statistical Area,"41,203","42,239",796.8,51.7,53.0,877.2,921.8,44.6
48940,"Wilmington, OH",Micropolitan Statistical Area,"40,543","42,040",408.7,99.2,102.9,561.2,494.2,-67.0
48980,"Wilson, NC",Micropolitan Statistical Area,"73,814","81,234",368.2,200.5,220.6,"1,142.1","1,003.9",-138.2
49060,"Winfield, KS",Micropolitan Statistical Area,"36,291","36,311","1,125.8",32.2,32.3,617.2,607.7,-9.5
49100,"Winona, MN",Micropolitan Statistical Area,"49,985","51,461",626.2,79.8,82.2,"1,481.0","1,433.5",-47.4
49260,"Woodward, OK",Micropolitan Statistical Area,"18,486","20,081","1,242.4",14.9,16.2,234.4,232.2,-2.1
49300,"Wooster, OH",Micropolitan Statistical Area,"111,564","114,520",554.9,201.0,206.4,685.4,657.7,-27.7
49380,"Worthington, MN",Micropolitan Statistical Area,"20,832","21,378",715.1,29.1,29.9,360.5,442.9,82.5
