Table with row headers in column A and column headers in rows 4 through 974. Leading dots indicate subparts.,,,,,,,,,,
CBSA Report Chapter 3 Data,,,,,,,,,,
,,,,,,,,,,
"CBSA
Code",Geographic area,Legal/statistical area description,Population,,"Land area in
square miles, 2010",Population density1,,,,
,,,,,,Overall,,Population weighted,,
,,,2000,2010,,2000,2010,2000,2010,"Change, 2000 to 2010"
13820,"Birmingham-Hoover, AL",Metropolitan Statistical Area,"1,052,238","1,128,047","5,279.5",199.3,213.7,"1,508.5","1,314.2",-194.4
13900,"Bismarck, ND",Metropolitan Statistical Area,"94,719","108,779","3,558.9",26.6,30.6,"2,066.4","1,802.5",-263.9
13980,"Blacksburg-Christiansburg-Radford, VA",Metropolitan Statistical Area,"151,272","162,958","1,072.5",141.0,151.9,"1,199.6","1,228.1",28.5
14020,"Bloomington, IN",Metropolitan Statistical Area,"175,506","192,714","1,322.3",132.7,145.7,"2,082.9","2,331.1",248.2
14060,"Bloomington-Normal, IL",Metropolitan Statistical Area,"150,433","169,572","1,183.4",127.1,143.3,"3,279.9","3,046.9",-233.0
14260,"Boise City-Nampa, ID",Metropolitan Statistical Area,"464,840","616,561","11,765.6",39.5,52.4,"2,373.5","2,310.2",-63.2
14460,"Boston-Cambridge-Quincy, MA-NH",Metropolitan Statistical Area,"4,391,344","4,552,402","3,487.4","1,259.2","1,305.4","7,912.2","7,980.1",67.9
14500,"Boulder, CO",Metropolitan Statistical Area,"269,814","294,567",726.3,368.2,405.6,"3,696.7","3,650.0",-46.7
14540,"Bowling Green, KY",Metropolitan Statistical Area,"104,166","125,953",844.5,123.3,149.1,"1,548.7","1,730.3",181.5
14740,"Bremerton-Silverdale, WA",Metropolitan Statistical Area,"231,969","251,133",394.9,587.4,635.9,"1,953.4","1,835.9",-117.5
14860,"Bridgeport-Stamford-Norwalk, CT",Metropolitan Statistical Area,"882,567","916,829",624.9,"1,412.4","1,467.2","4,923.2","5,122.4",199.2
15180,"Brownsville-Harlingen, TX",Metropolitan Statistical Area,"335,227","406,220",890.9,376.3,456.0,"3,104.5","2,842.9",-261.6
15260,"Brunswick, GA",Metropolitan Statistical Area,"93,044","112,370","1,286.4",72.3,87.4,581.7,539.0,-42.6
15380,"Buffalo-Niagara Falls, NY",Metropolitan Statistical Area,"1,170,111","1,135,509","1,565.1",747.6,725.5,"4,601.5","4,129.4",-472.1
15500,"Burlington, NC",Metropolitan Statistical Area,"130,800","151,131",423.9,308.5,356.5,"1,096.7","1,126.7",29.9
15540,"Burlington-South Burlington, VT",Metropolitan Statistical Area,"198,889","211,261","1,252.1",158.8,168.7,"1,912.5","2,053.9",141.4
15940,"Canton-Massillon, OH",Metropolitan Statistical Area,"406,934","404,422",969.9,419.6,417.0,"2,128.1","1,919.9",-208.1
15980,"Cape Coral-Fort Myers, FL",Metropolitan Statistical Area,"440,888","618,754",784.5,562.0,788.7,"2,029.2","1,911.3",-117.9
16020,"Cape Girardeau-Jackson, MO-IL",Metropolitan Statistical Area,"90,312","96,275","1,431.9",63.1,67.2,"1,014.5","1,093.8",79.3
16180,"Carson City, NV",Metropolitan Statistical Area,"52,457","55,274",144.7,362.6,382.1,"3,247.1","3,285.4",38.3
16220,"Casper, WY",Metropolitan Statistical Area,"66,533","75,450","5,340.4",12.5,14.1,"2,034.6","2,003.6",-31.1
16300,"Cedar Rapids, IA",Metropolitan Statistical Area,"237,230","257,940","2,008.8",118.1,128.4,"1,874.6","1,661.3",-213.2
16580,"Champaign-Urbana, IL",Metropolitan Statistical Area,"210,275","231,891","1,921.1",109.5,120.7,"4,043.9","4,405.2",361.3
16620,"Charleston, WV",Metropolitan Statistical Area,"309,635","304,284","2,527.7",122.5,120.4,"1,099.5","1,033.7",-65.8
16700,"Charleston-North Charleston-Summerville, SC",Metropolitan Statistical Area,"549,033","664,607","2,588.2",212.1,256.8,"1,958.9","1,926.0",-32.9
16740,"Charlotte-Gastonia-Rock Hill, NC-SC",Metropolitan Statistical Area,"1,330,448","1,758,038","3,085.2",431.2,569.8,"1,738.1","1,881.3",143.2
16820,"Charlottesville, VA",Metropolitan Statistical Area,"174,021","201,559","1,644.0",105.8,122.6,"1,979.4","2,050.7",71.3
16860,"Chattanooga, TN-GA",Metropolitan Statistical Area,"476,531","528,143","2,089.0",228.1,252.8,"1,095.4","1,126.8",31.5
16940,"Cheyenne, WY",Metropolitan Statistical Area,"81,607","91,738","2,685.9",30.4,34.2,"1,780.3","1,817.7",37.4
16980,"Chicago-Joliet-Naperville, IL-IN-WI",Metropolitan Statistical Area,"9,098,316","9,461,105","7,196.8","1,264.2","1,314.6","9,829.6","8,613.4","-1,216.2"
17020,"Chico, CA",Metropolitan Statistical Area,"203,171","220,000","1,636.5",124.2,134.4,"2,124.2","2,144.7",20.5
17140,"Cincinnati-Middletown, OH-KY-IN",Metropolitan Statistical Area,"2,009,632","2,130,151","4,391.9",457.6,485.0,"2,864.8","2,563.6",-301.1
17300,"Clarksville, TN-KY",Metropolitan Statistical Area,"232,000","273,949","2,157.4",107.5,127.0,"1,135.0","1,151.8",16.7
17420,"Cleveland, TN",Metropolitan Statistical Area,"104,015","115,788",763.4,136.2,151.7,766.7,811.3,44.6
17460,"Cleveland-Elyria-Mentor, OH",Metropolitan Statistical Area,"2,148,143","2,077,240","1,997.3","1,075.5","1,040.0","4,581.7","3,808.4",-773.3
17660,"Coeur d'Alene, ID",Metropolitan Statistical Area,"108,685","138,494","1,244.1",87.4,111.3,"1,230.2","1,357.8",127.6
17780,"College Station-Bryan, TX",Metropolitan Statistical Area,"184,885","228,660","2,100.2",88.0,108.9,"2,660.7","2,804.2",143.5
17820,"Colorado Springs, CO",Metropolitan Statistical Area,"537,484","645,613","2,683.9",200.3,240.6,"3,140.7","3,092.5",-48.2
17860,"Columbia, MO",Metropolitan Statistical Area,"145,666","172,786","1,149.3",126.7,150.3,"1,633.1","1,630.5",-2.6
17900,"Columbia, SC",Metropolitan Statistical Area,"647,158","767,598","3,702.7",174.8,207.3,"1,413.6","1,428.0",14.3
17980,"Columbus, GA-AL",Metropolitan Statistical Area,"281,768","294,865","1,936.1",145.5,152.3,"1,859.4","1,680.8",-178.5
18020,"Columbus, IN",Metropolitan Statistical Area,"71,435","76,794",406.9,175.6,188.7,"1,086.6","1,083.8",-2.8
18140,"Columbus, OH",Metropolitan Statistical Area,"1,612,694","1,836,536","3,967.2",406.5,462.9,"3,416.4","3,186.0",-230.4
18580,"Corpus Christi, TX",Metropolitan Statistical Area,"403,280","428,185","1,784.0",226.1,240.0,"3,148.9","3,204.0",55.1
18700,"Corvallis, OR",Metropolitan Statistical Area,"78,153","85,579",675.9,115.6,126.6,"2,548.9","2,653.2",104.4
18880,"Crestview-Fort Walton Beach-Destin, FL",Metropolitan Statistical Area,"170,498","180,822",930.2,183.3,194.4,"2,029.8","1,952.0",-77.8
19060,"Cumberland, MD-WV",Metropolitan Statistical Area,"102,008","103,299",752.0,135.7,137.4,878.5,845.1,-33.4
19100,"Dallas-Fort Worth-Arlington, TX",Metropolitan Statistical Area,"5,161,544","6,371,773","8,927.5",578.2,713.7,"4,295.2","3,909.3",-385.9
19140,"Dalton, GA",Metropolitan Statistical Area,"120,031","142,227",634.9,189.0,224.0,586.6,672.9,86.3
19180,"Danville, IL",Metropolitan Statistical Area,"83,919","81,625",898.4,93.4,90.9,745.1,684.6,-60.5
19260,"Danville, VA",Metropolitan Statistical Area,"110,156","106,561","1,011.9",108.9,105.3,965.6,794.0,-171.5
19340,"Davenport-Moline-Rock Island, IA-IL",Metropolitan Statistical Area,"376,019","379,690","2,269.9",165.7,167.3,"2,306.0","2,218.6",-87.4
19380,"Dayton, OH",Metropolitan Statistical Area,"848,153","841,502","1,706.0",497.2,493.3,"2,565.7","2,243.4",-322.3
19460,"Decatur, AL",Metropolitan Statistical Area,"145,867","153,829","1,270.0",114.9,121.1,793.8,818.7,24.9
19500,"Decatur, IL",Metropolitan Statistical Area,"114,706","110,768",580.7,197.5,190.8,"1,978.6","1,730.3",-248.3
19660,"Deltona-Daytona Beach-Ormond Beach, FL",Metropolitan Statistical Area,"443,343","494,593","1,101.0",402.7,449.2,"1,992.6","1,871.3",-121.3
19740,"Denver-Aurora-Broomfield, CO",Metropolitan Statistical Area,"2,179,240","2,543,482","8,346.1",260.4,304.8,"5,076.6","4,803.7",-272.9
19780,"Des Moines-West Des Moines, IA",Metropolitan Statistical Area,"481,394","569,633","2,883.7",166.9,197.5,"2,576.4","2,375.0",-201.4
19820,"Detroit-Warren-Livonia, MI",Metropolitan Statistical Area,"4,452,557","4,296,250","3,888.4","1,145.1","1,104.9","4,534.2","3,800.4",-733.9
20020,"Dothan, AL",Metropolitan Statistical Area,"130,861","145,639","1,716.0",76.3,84.9,601.9,623.4,21.5
20100,"Dover, DE",Metropolitan Statistical Area,"126,697","162,310",586.2,216.1,276.9,828.1,912.7,84.6
20220,"Dubuque, IA",Metropolitan Statistical Area,"89,143","93,653",608.3,146.5,154.0,"2,466.3","2,242.7",-223.6
20260,"Duluth, MN-WI",Metropolitan Statistical Area,"275,486","279,771","8,412.9",32.7,33.3,"1,428.7","1,377.1",-51.6
20500,"Durham-Chapel Hill, NC",Metropolitan Statistical Area,"426,493","504,357","1,758.4",242.5,286.8,"1,858.7","1,860.4",1.7
20740,"Eau Claire, WI",Metropolitan Statistical Area,"148,337","161,151","1,646.4",90.1,97.9,"1,408.6","1,345.6",-63.0
20940,"El Centro, CA",Metropolitan Statistical Area,"142,361","174,528","4,176.6",34.1,41.8,"3,347.6","3,062.6",-285.1
21060,"Elizabethtown, KY",Metropolitan Statistical Area,"107,547","119,736",884.8,121.5,135.3,839.2,841.3,2.1
21140,"Elkhart-Goshen, IN",Metropolitan Statistical Area,"182,791","197,559",463.2,394.7,426.5,"1,551.7","1,369.5",-182.2
21300,"Elmira, NY",Metropolitan Statistical Area,"91,070","88,830",407.4,223.6,218.1,"2,354.2","2,162.6",-191.5
21340,"El Paso, TX",Metropolitan Statistical Area,"679,622","800,647","1,012.7",671.1,790.6,"4,521.0","4,318.3",-202.7
21500,"Erie, PA",Metropolitan Statistical Area,"280,843","280,566",799.2,351.4,351.1,"3,402.8","3,298.5",-104.4
21660,"Eugene-Springfield, OR",Metropolitan Statistical Area,"322,959","351,715","4,553.1",70.9,77.2,"2,558.7","2,787.1",228.4
21780,"Evansville, IN-KY",Metropolitan Statistical Area,"342,815","358,676","2,284.0",150.1,157.0,"1,785.4","1,660.1",-125.3
21820,"Fairbanks, AK",Metropolitan Statistical Area,"82,840","97,581","7,338.2",11.3,13.3,"1,063.9","1,063.1",-0.9
22020,"Fargo, ND-MN",Metropolitan Statistical Area,"174,367","208,777","2,810.3",62.0,74.3,"3,050.3","2,770.1",-280.2
22140,"Farmington, NM",Metropolitan Statistical Area,"113,801","130,044","5,513.1",20.6,23.6,763.9,831.1,67.2
22180,"Fayetteville, NC",Metropolitan Statistical Area,"336,609","366,383","1,043.1",322.7,351.3,"1,765.2","1,694.0",-71.2
22220,"Fayetteville-Springdale-Rogers, AR-MO",Metropolitan Statistical Area,"347,045","463,204","3,163.1",109.7,146.4,933.4,"1,114.8",181.4
22380,"Flagstaff, AZ",Metropolitan Statistical Area,"116,320","134,421","18,618.9",6.2,7.2,"1,002.6","1,348.4",345.7
22420,"Flint, MI",Metropolitan Statistical Area,"436,141","425,790",637.0,684.7,668.5,"2,271.4","1,814.2",-457.3
22500,"Florence, SC",Metropolitan Statistical Area,"193,155","205,566","1,361.1",141.9,151.0,604.5,654.9,50.3
22520,"Florence-Muscle Shoals, AL",Metropolitan Statistical Area,"142,950","147,137","1,260.3",113.4,116.7,746.2,772.3,26.1
22540,"Fond du Lac, WI",Metropolitan Statistical Area,"97,296","101,633",719.6,135.2,141.2,"1,773.6","1,658.6",-115.0
22660,"Fort Collins-Loveland, CO",Metropolitan Statistical Area,"251,494","299,630","2,596.0",96.9,115.4,"2,876.3","2,711.9",-164.4
22900,"Fort Smith, AR-OK",Metropolitan Statistical Area,"273,170","298,592","3,996.3",68.4,74.7,832.0,832.9,0.9
23060,"Fort Wayne, IN",Metropolitan Statistical Area,"390,156","416,257","1,361.0",286.7,305.9,"2,155.0","1,964.2",-190.8
23420,"Fresno, CA",Metropolitan Statistical Area,"799,407","930,450","5,958.0",134.2,156.2,"4,168.7","4,216.1",47.4
23460,"Gadsden, AL",Metropolitan Statistical Area,"103,459","104,430",535.0,193.4,195.2,702.6,664.7,-37.9
23540,"Gainesville, FL",Metropolitan Statistical Area,"232,392","264,275","1,224.7",189.8,215.8,"2,147.1","2,330.5",183.4
23580,"Gainesville, GA",Metropolitan Statistical Area,"139,277","179,684",392.8,354.6,457.5,817.1,882.2,65.1
24020,"Glens Falls, NY",Metropolitan Statistical Area,"124,345","128,923","1,698.1",73.2,75.9,893.1,923.4,30.3
24140,"Goldsboro, NC",Metropolitan Statistical Area,"113,329","122,623",553.1,204.9,221.7,646.5,592.8,-53.7
24220,"Grand Forks, ND-MN",Metropolitan Statistical Area,"97,478","98,461","3,407.5",28.6,28.9,"1,970.1","2,043.9",73.9
24300,"Grand Junction, CO",Metropolitan Statistical Area,"116,255","146,723","3,329.0",34.9,44.1,"1,755.9","2,015.2",259.2
24340,"Grand Rapids-Wyoming, MI",Metropolitan Statistical Area,"740,482","774,160","2,784.5",265.9,278.0,"2,583.4","2,330.9",-252.5
24500,"Great Falls, MT",Metropolitan Statistical Area,"80,357","81,327","2,698.2",29.8,30.1,"1,912.6","1,857.1",-55.5
24540,"Greeley, CO",Metropolitan Statistical Area,"180,926","252,825","3,987.2",45.3,63.4,"2,526.4","2,212.5",-313.9
24580,"Green Bay, WI",Metropolitan Statistical Area,"282,599","306,241","1,870.2",151.1,163.7,"2,159.0","1,869.1",-289.9
24660,"Greensboro-High Point, NC",Metropolitan Statistical Area,"643,430","723,801","1,993.8",322.7,363.0,"1,483.2","1,507.7",24.5
24780,"Greenville, NC",Metropolitan Statistical Area,"152,772","189,510",917.9,166.4,206.5,"1,275.3","1,380.9",105.5
24860,"Greenville-Mauldin-Easley, SC",Metropolitan Statistical Area,"559,940","636,986","1,995.3",280.6,319.2,"1,188.0","1,264.8",76.8
25060,"Gulfport-Biloxi, MS",Metropolitan Statistical Area,"246,190","248,820","1,493.2",164.9,166.6,"1,352.8","1,092.3",-260.5
25180,"Hagerstown-Martinsburg, MD-WV",Metropolitan Statistical Area,"222,771","269,140","1,008.0",221.0,267.0,"1,418.0","1,299.6",-118.4
25260,"Hanford-Corcoran, CA",Metropolitan Statistical Area,"129,461","152,982","1,389.4",93.2,110.1,"2,761.1","2,996.2",235.1
25420,"Harrisburg-Carlisle, PA",Metropolitan Statistical Area,"509,074","549,475","1,622.0",313.9,338.8,"2,480.3","2,446.0",-34.3
25500,"Harrisonburg, VA",Metropolitan Statistical Area,"108,193","125,228",866.5,124.9,144.5,"1,525.4","1,861.9",336.5
25540,"Hartford-West Hartford-East Hartford, CT",Metropolitan Statistical Area,"1,148,618","1,212,381","1,514.6",758.4,800.5,"3,251.0","3,250.9",-0.1
25620,"Hattiesburg, MS",Metropolitan Statistical Area,"123,812","142,842","1,610.6",76.9,88.7,"1,010.0",828.0,-182.0
25860,"Hickory-Lenoir-Morganton, NC",Metropolitan Statistical Area,"341,851","365,497","1,637.4",208.8,223.2,581.5,578.6,-2.9
25980,"Hinesville-Fort Stewart, GA",Metropolitan Statistical Area,"71,914","77,917",890.1,80.8,87.5,893.6,846.5,-47.1
26100,"Holland-Grand Haven, MI",Metropolitan Statistical Area,"238,314","263,801",563.5,422.9,468.2,"1,547.9","1,539.7",-8.2
26180,"Honolulu, HI",Metropolitan Statistical Area,"876,156","953,207",600.7,"1,458.5","1,586.7","10,977.5","11,548.2",570.7
26300,"Hot Springs, AR",Metropolitan Statistical Area,"88,068","96,024",677.8,129.9,141.7,638.5,627.2,-11.3
26380,"Houma-Bayou Cane-Thibodaux, LA",Metropolitan Statistical Area,"194,477","208,178","2,300.0",84.6,90.5,971.8,952.6,-19.2
26420,"Houston-Sugar Land-Baytown, TX",Metropolitan Statistical Area,"4,715,407","5,946,800","8,827.5",534.2,673.7,"4,258.4","4,109.6",-148.8
26580,"Huntington-Ashland, WV-KY-OH",Metropolitan Statistical Area,"288,649","287,702","1,744.6",165.4,164.9,"1,447.2","1,376.7",-70.4
26620,"Huntsville, AL",Metropolitan Statistical Area,"342,376","417,593","1,361.5",251.5,306.7,"1,199.4","1,182.5",-16.9
26820,"Idaho Falls, ID",Metropolitan Statistical Area,"101,677","130,374","2,959.6",34.4,44.1,"1,678.8","1,690.7",11.9
26900,"Indianapolis-Carmel, IN",Metropolitan Statistical Area,"1,525,104","1,756,241","3,854.5",395.7,455.6,"2,493.0","2,285.6",-207.3
26980,"Iowa City, IA",Metropolitan Statistical Area,"131,676","152,586","1,182.9",111.3,129.0,"2,849.6","2,707.7",-141.8
27060,"Ithaca, NY",Metropolitan Statistical Area,"96,501","101,564",474.6,203.3,214.0,"2,788.7","3,030.8",242.1
27100,"Jackson, MI",Metropolitan Statistical Area,"158,422","160,248",701.7,225.8,228.4,"1,422.5","1,462.8",40.2
27140,"Jackson, MS",Metropolitan Statistical Area,"497,197","539,057","3,726.1",133.4,144.7,"1,435.9","1,277.9",-157.9
27180,"Jackson, TN",Metropolitan Statistical Area,"107,377","115,425",842.9,127.4,136.9,999.1,943.8,-55.2
27260,"Jacksonville, FL",Metropolitan Statistical Area,"1,122,750","1,345,596","3,201.1",350.7,420.4,"2,375.5","2,158.7",-216.8
27340,"Jacksonville, NC",Metropolitan Statistical Area,"150,355","177,772",762.7,197.1,233.1,"1,023.9",962.8,-61.1
27500,"Janesville, WI",Metropolitan Statistical Area,"152,307","160,331",718.1,212.1,223.3,"2,019.8","1,894.7",-125.2
27620,"Jefferson City, MO",Metropolitan Statistical Area,"140,052","149,807","2,247.7",62.3,66.6,587.7,522.7,-64.9
27740,"Johnson City, TN",Metropolitan Statistical Area,"181,607","198,716",853.8,212.7,232.7,836.3,879.1,42.8
27780,"Johnstown, PA",Metropolitan Statistical Area,"152,598","143,679",688.4,221.7,208.7,"1,491.0","1,322.1",-168.9
27860,"Jonesboro, AR",Metropolitan Statistical Area,"107,762","121,026","1,465.6",73.5,82.6,797.4,856.9,59.5
27900,"Joplin, MO",Metropolitan Statistical Area,"157,322","175,518","1,263.3",124.5,138.9,866.1,872.5,6.3
28020,"Kalamazoo-Portage, MI",Metropolitan Statistical Area,"314,866","326,589","1,169.1",269.3,279.3,"1,716.9","1,603.7",-113.2
28100,"Kankakee-Bradley, IL",Metropolitan Statistical Area,"103,833","113,449",676.6,153.5,167.7,"1,591.6","1,528.5",-63.1
28140,"Kansas City, MO-KS",Metropolitan Statistical Area,"1,836,038","2,035,334","7,827.3",234.6,260.0,"2,505.8","2,326.1",-179.7
28420,"Kennewick-Pasco-Richland, WA",Metropolitan Statistical Area,"191,822","253,340","2,942.6",65.2,86.1,"2,039.9","2,212.4",172.5
28660,"Killeen-Temple-Fort Hood, TX",Metropolitan Statistical Area,"330,714","405,300","2,815.9",117.4,143.9,"2,020.9","2,001.8",-19.2
28700,"Kingsport-Bristol-Bristol, TN-VA",Metropolitan Statistical Area,"298,484","309,544","2,009.9",148.5,154.0,626.6,633.5,6.8
28740,"Kingston, NY",Metropolitan Statistical Area,"177,749","182,493","1,124.2",158.1,162.3,909.3,958.6,49.3
28940,"Knoxville, TN",Metropolitan Statistical Area,"616,079","698,030","1,856.8",331.8,375.9,"1,282.3","1,343.3",60.9
29020,"Kokomo, IN",Metropolitan Statistical Area,"101,541","98,688",553.6,183.4,178.3,"1,577.7","1,480.3",-97.4
29100,"La Crosse, WI-MN",Metropolitan Statistical Area,"126,838","133,665","1,003.7",126.4,133.2,"1,959.7","1,877.9",-81.8
29140,"Lafayette, IN",Metropolitan Statistical Area,"178,541","201,789","1,278.4",139.7,157.8,"3,417.9","3,227.7",-190.2
29180,"Lafayette, LA",Metropolitan Statistical Area,"239,086","273,738","1,006.4",237.6,272.0,"1,434.9","1,524.5",89.6
29340,"Lake Charles, LA",Metropolitan Statistical Area,"193,568","199,607","2,348.5",82.4,85.0,"1,359.2","1,309.9",-49.3
29420,"Lake Havasu City-Kingman, AZ",Metropolitan Statistical Area,"155,032","200,186","13,311.1",11.6,15.0,"1,134.6","1,143.6",9.0
29460,"Lakeland-Winter Haven, FL",Metropolitan Statistical Area,"483,924","602,095","1,797.8",269.2,334.9,"1,456.0","1,462.8",6.8
29540,"Lancaster, PA",Metropolitan Statistical Area,"470,658","519,445",943.8,498.7,550.4,"2,869.5","2,940.2",70.8
29620,"Lansing-East Lansing, MI",Metropolitan Statistical Area,"447,728","464,036","1,697.7",263.7,273.3,"3,259.9","3,222.2",-37.7
29700,"Laredo, TX",Metropolitan Statistical Area,"193,117","250,304","3,361.5",57.4,74.5,"5,923.6","5,300.1",-623.5
29740,"Las Cruces, NM",Metropolitan Statistical Area,"174,682","209,233","3,807.5",45.9,55.0,"1,824.5","1,782.3",-42.2
29820,"Las Vegas-Paradise, NV",Metropolitan Statistical Area,"1,375,765","1,951,269","7,891.4",174.3,247.3,"6,781.8","6,527.2",-254.6
29940,"Lawrence, KS",Metropolitan Statistical Area,"99,962","110,826",455.9,219.3,243.1,"2,963.5","2,795.5",-168.0
30020,"Lawton, OK",Metropolitan Statistical Area,"114,996","124,098","1,069.3",107.5,116.1,"1,920.5","1,830.3",-90.2
30140,"Lebanon, PA",Metropolitan Statistical Area,"120,327","133,568",361.8,332.5,369.1,"2,136.4","2,053.6",-82.8
30300,"Lewiston, ID-WA",Metropolitan Statistical Area,"57,961","60,888","1,484.3",39.0,41.0,"1,431.3","1,443.6",12.3
30340,"Lewiston-Auburn, ME",Metropolitan Statistical Area,"103,793","107,702",467.9,221.8,230.2,"1,905.6","1,838.6",-67.0
30460,"Lexington-Fayette, KY",Metropolitan Statistical Area,"408,326","472,099","1,468.5",278.1,321.5,"3,041.9","2,918.6",-123.2
30620,"Lima, OH",Metropolitan Statistical Area,"108,473","106,331",402.5,269.5,264.2,"1,688.3","1,497.7",-190.6
30700,"Lincoln, NE",Metropolitan Statistical Area,"266,787","302,157","1,409.0",189.3,214.5,"3,939.9","3,748.0",-192.0
30780,"Little Rock-North Little Rock-Conway, AR",Metropolitan Statistical Area,"610,518","699,757","4,085.2",149.4,171.3,"1,455.4","1,404.3",-51.0
30860,"Logan, UT-ID",Metropolitan Statistical Area,"102,720","125,442","1,828.5",56.2,68.6,"2,110.4","1,915.9",-194.4
30980,"Longview, TX",Metropolitan Statistical Area,"194,042","214,369","1,780.3",109.0,120.4,834.5,876.0,41.5
31020,"Longview, WA",Metropolitan Statistical Area,"92,948","102,410","1,140.1",81.5,89.8,"2,036.9","2,005.7",-31.2
31100,"Los Angeles-Long Beach-Santa Ana, CA",Metropolitan Statistical Area,"12,365,627","12,828,837","4,848.5","2,550.4","2,646.0","12,442.0","12,113.9",-328.1
31140,"Louisville/Jefferson County, KY-IN",Metropolitan Statistical Area,"1,161,975","1,283,566","4,110.9",282.7,312.2,"2,618.8","2,477.3",-141.4
31180,"Lubbock, TX",Metropolitan Statistical Area,"249,700","284,890","1,795.8",139.0,158.6,"3,107.3","3,077.6",-29.7
31340,"Lynchburg, VA",Metropolitan Statistical Area,"228,616","252,634","2,120.3",107.8,119.1,741.4,808.3,66.9
31420,"Macon, GA",Metropolitan Statistical Area,"222,368","232,293","1,722.6",129.1,134.8,"1,187.1","1,049.9",-137.3
31460,"Madera-Chowchilla, CA",Metropolitan Statistical Area,"123,109","150,865","2,137.1",57.6,70.6,"1,894.9","2,391.0",496.1
31540,"Madison, WI",Metropolitan Statistical Area,"501,774","568,593","2,725.3",184.1,208.6,"3,728.7","3,502.2",-226.5
31700,"Manchester-Nashua, NH",Metropolitan Statistical Area,"380,841","400,721",876.1,434.7,457.4,"3,043.7","2,855.8",-187.9
31740,"Manhattan, KS",Metropolitan Statistical Area,"108,999","127,081","1,835.4",59.4,69.2,"1,786.3","1,766.3",-19.9
31860,"Mankato-North Mankato, MN",Metropolitan Statistical Area,"85,712","96,740","1,196.3",71.6,80.9,"1,759.4","1,933.4",174.0
31900,"Mansfield, OH",Metropolitan Statistical Area,"128,852","124,475",495.3,260.2,251.3,"1,358.6","1,105.9",-252.7
32580,"McAllen-Edinburg-Mission, TX",Metropolitan Statistical Area,"569,463","774,769","1,570.9",362.5,493.2,"1,863.9","2,083.8",219.9
32780,"Medford, OR",Metropolitan Statistical Area,"181,269","203,206","2,783.5",65.1,73.0,"1,946.1","1,939.4",-6.7
32820,"Memphis, TN-MS-AR",Metropolitan Statistical Area,"1,205,204","1,316,100","4,577.9",263.3,287.5,"2,723.5","2,372.3",-351.3
32900,"Merced, CA",Metropolitan Statistical Area,"210,554","255,793","1,935.0",108.8,132.2,"2,447.4","2,455.0",7.7
33100,"Miami-Fort Lauderdale-Pompano Beach, FL",Metropolitan Statistical Area,"5,007,564","5,564,635","5,077.3",986.3,"1,096.0","7,236.6","7,395.3",158.7
33140,"Michigan City-La Porte, IN",Metropolitan Statistical Area,"110,106","111,467",598.3,184.0,186.3,"1,257.5","1,177.3",-80.3
33260,"Midland, TX",Metropolitan Statistical Area,"116,009","136,872",900.3,128.9,152.0,"2,535.7","2,684.2",148.5
33340,"Milwaukee-Waukesha-West Allis, WI",Metropolitan Statistical Area,"1,500,741","1,555,908","1,454.8","1,031.6","1,069.5","5,454.8","5,257.6",-197.2
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",Metropolitan Statistical Area,"2,968,806","3,279,833","6,027.2",492.6,544.2,"3,617.3","3,383.4",-233.9
33540,"Missoula, MT",Metropolitan Statistical Area,"95,802","109,299","2,593.4",36.9,42.1,"1,827.5","1,908.0",80.5
33660,"Mobile, AL",Metropolitan Statistical Area,"399,843","412,992","1,229.4",325.2,335.9,"1,890.9","1,659.3",-231.7
33700,"Modesto, CA",Metropolitan Statistical Area,"446,997","514,453","1,494.8",299.0,344.2,"4,301.8","4,322.7",21.0
33740,"Monroe, LA",Metropolitan Statistical Area,"170,053","176,441","1,487.4",114.3,118.6,"1,085.9",995.8,-90.0
33780,"Monroe, MI",Metropolitan Statistical Area,"145,945","152,021",549.4,265.6,276.7,969.8,919.0,-50.8
33860,"Montgomery, AL",Metropolitan Statistical Area,"346,528","374,536","2,713.1",127.7,138.0,"1,603.8","1,492.7",-111.2
34060,"Morgantown, WV",Metropolitan Statistical Area,"111,200","129,709","1,008.9",110.2,128.6,"2,156.1","2,034.2",-121.9
34100,"Morristown, TN",Metropolitan Statistical Area,"123,081","136,608",715.9,171.9,190.8,511.9,554.2,42.3
34580,"Mount Vernon-Anacortes, WA",Metropolitan Statistical Area,"102,979","116,901","1,731.2",59.5,67.5,"1,208.3","1,286.5",78.2
34620,"Muncie, IN",Metropolitan Statistical Area,"118,769","117,671",392.1,302.9,300.1,"2,219.5","2,377.0",157.5
34740,"Muskegon-Norton Shores, MI",Metropolitan Statistical Area,"170,200","172,188",499.2,340.9,344.9,"1,736.3","1,563.9",-172.4
34820,"Myrtle Beach-North Myrtle Beach-Conway, SC",Metropolitan Statistical Area,"196,629","269,291","1,133.9",173.4,237.5,777.5,894.1,116.7
34900,"Napa, CA",Metropolitan Statistical Area,"124,279","136,484",748.4,166.1,182.4,"3,739.2","4,045.9",306.7
34940,"Naples-Marco Island, FL",Metropolitan Statistical Area,"251,377","321,520","1,998.3",125.8,160.9,"2,126.3","2,103.3",-23.0
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",Metropolitan Statistical Area,"1,311,789","1,589,934","5,688.7",230.6,279.5,"1,660.6","1,695.3",34.6
